lan,text
en,Yi Sun-shin was a great solder.
en,I have a husband and three wonderful children in Hollywood.
en,Watching those games is a lot of fun for us.
en,"As you see, most Americans believe that the answer to a question should be direct."
en,Pusan is in the south of Korea.
en,So he decided to continue selling tomatoes.
en,"One tropical tree smells like garlic, and there is another plant that smells like a pile of rotting garbage."
en,The sun is a star.
en,"You may think, ""Not me. I won't get sick on my vacation!"""
en,They show soap for washing clothes.
en,Finally he decided to buy 25 pounds of tomatoes at a supermarket.
en,She surely hopes so.
en,At night it seems almost black.
en,You must keep your teeth clean.
en,"He told me that there were thirty-nine colleges at Oxford, and only eight thousand students."
en,"If angry at first, wait till your anger disappears before you act."
en,"He threw his package on the desk and said, ""Mrs. Anderson has sent you two of her rabbits."""
en,Yesterday Jack had no work to do after breakfast.
en,"In fact, working well with others is one of the most important job skills."
en,"He was a success, so he began to make movies."
en,Other soap is just for taking care of little babies.
en,Test yourself and see how your body feels when you laugh or smile.
en,His name was Francis Galton.
en,Robins are acting in the most strange way.
en,It is nice and cool.
en,Some even rode on horses.
en,"Whenever a few people in Korea like something new, it quickly becomes a craze."
en,"Fortunately, Aston had learned some Spanish in high school."
en,"I would repeat, ""Lunch is ready,"" and he would shout, ""What?"""
en,We're having beautiful weather in Korea.
en,A common language is needed.
en,They proved effective.
en,"For example, it has caused some male fish in the Han River to lay eggs like females!"
en,"From that time on, Coca-Cola has been an incredible success."
en,So she stopped a customer leaving a bank.
en,"Now, I'll tell you about it."
en,"When Rattin broke the rules again, the referee told him to leave the field."
en,"There are four people in my family - Father, Mother, my little sister, and myself."
en,"This wall painting, done in the 1490s, still exists in a monastery in Milan, Italy."
en,American and Brithish people both speak English.
en,He cannot take time to look for the best angle.
en,She was with a mother wolf and three little wolves.
en,You usually use it for cutting things to cook.
en,Dioxin was created by humans through modern technology.
en,"Dear Tom,"
en,The male dominates and the female follows behind.
en,It also causes health problems for babies before they are born.
en,"It's proof that the English are best."""
en,The Juice that came from the fruit was wine.
en,"But, for many peole, that is what happens."
en,Often the ads tell about special soap for washing your hair.
en,A teenager logged on 12 hours a day and needed psychological help to break his habit.
en,"Later, when I found a job in a restaurant, I couldn't put off telling my parents any longer."
en,Frogs are especially sensitive to changes in the environment.
en,"Another child replied, ""I want to be a businessman who makes a lot of money."""
en,Another reason is money.
en,Jack was very glad to find that it was safe.
en,Have you watched the movie Minority Report?
en,He turned his head from side to side.
en,"Stop it fight now, Yu-mi."
en,"In fact, there are so many important differences between British and American English."
en,"In many places, cars had to stay off the highways."
en,I was soon outside again without it.
en,LH is a very tall building.
en,"They usually stay up late and watch television, but tonight they are going to go to bed early."
en,One boy is running after the ball.
en,"""Aha!"" Francis thought, ""two brilliant men in one family."
en,"It is true. that you are a very clever boy, but that doesn't mean you are the cleverest of all."
en,"When Julia later told her about the visitor, her mother was puzzled and asked what the man looked like."
en,They were always careful not to waste any water.
en,This helped them to stay calm.
en,Clouds came and went day after day but no rain fell.
en,We also need a little sugar.
en,"What a wonderful birthday present and how nice of you to remember my birthday, even when you're on vacation."
en,"When we are reading English, we sometimes meet a new word which we don't know."
en,The bird looked really happy!
en,"In the old days, kissing was more often an act of respect than that of love."
en,The man explained that he had neither a computer nor an e-mail address.
en,What do you think the reasons are?
en,"However, scientists are sure it will happen someday."
en,A man met a joke writer at a party.
en,Here a lion is jumping through the flames.
en,All of them tell Mrs. Lee they'll be able to do their homework tonight.
en,"If you were lucky enough, the surgeon would drop some of the chewed leaves into your cut."
en,But there was a time when things were very different.
en,Yesterday was Min-ho's fourteenth birthday.
en,"Or has it lost its vitality because of aging, air pollution, and stress of everyday living?"
en,"Mr. and Mrs. Bull, Comfort Farm, Sussex, Great Britain SU3 8TZ."
en,It is hard to find the rabbit in the snow.
en,But it's not fun or exciting if you get sick.
en,Some people have brown eyes.
en,Her mother's face brightened.
en,I'll give you an example.
en,"He mixed together cola nuts, cola leaves, caffeine, sugar, vegetables and so on."
en,Color keeps animals safe.
en,"If your beliefs are not producing good results in your life, you can choose to develop other ones."
en,"Then I go to ""Pants Plaza"" and see some good-looking pants."
en,The buildings are not tall.
en,"For Christians, Easter is a joyful time."
en,Two bigger boys had two boats on the pond.
en,So they moved to a new house near the school.
en,"The game is called ""Who's Boss?"""
en,Many people dye eggs for Easter.
en,"He wanted to get a new camera, because his camera was too old."
en,"Together they cost 21 dollars, but I only have 20 dollars."
en,"""While counting sheep, people tend to think of other things such as tomorrow's important meeting."
en,How is the weather in your town?
en,This kind of marketing is definitely an interesting way to call attention to the products.
en,Need to improve your English?
en,But many scientists say there is no scientific proof that aliens ever visited Earth.
en,"Their friend, Frank Robinson suggested calling the drink ""Coca-Cola."""
en,"Give Mrs. Anderson and her son my thanks for their kindness, and here is sixpence for yourself."""
en,Yun-ho is going to go on a picnic with his sisters tomorrow.
en,Imagine that!
en,"If you have heart trouble, you don't want to make it worse."
en,Others rode in taxis driven by blacks.
en,"But when farmers put out poison and traps to kill them, the coyotes soon sense danger and go somewhere else."
en,I work in an office with many people.
en,But most crazes begin without any serious discussion.
en,Or they cause so much pain as they come in that they have to be pulled out.
en,Just think... in a few more weeks it won't be winter any more.
en,"""I had some trees to cut down, but a tornado came along and did the job for me."""
en,They called it a 'devil's wagon.'
en,"He wants to take them across the river, but he is not able to take all of them at the same time."
en,Pretty soon everybody is wearing bright red sweaters.
en,They have two ways of breathing - through their skin and with their lungs.
en,I often go to his office and help his work.
en,"But unlike elephants, we can choose to untie them."
en,Stock markets will rise and fall as nervous people wonder about the future.
en,Children may feel neglected or lonely and this may cause them to overeat.
en,Soon people everywhere wanted to buy the new drink.
en,"Using satellites to protect the rain forest may sound expensive, but it's not."
en,It was Christmas time and my husband Tom and I decided to buy a Christmas tree.
en,"When she got to work, she asked that a plumber be sent."
en,You're welcome.
en,Sometimes the ideas of scientists can be truly dangerous.
en,An American astronomer has discovered a diamond as big as the Earth.
en,"For most people, access to the Internet will provide all kinds of great new services."
en,"For example, young voters may prefer a candidate who wears jeans and speaks to them in a rather informal way."
en,"Today, people in 195 nations drink it every day."
en,"Now it will become much more ""gender-neutral."""
en,My problem is one coworker who constantly chews gum in a very irritating manner.
en,What color are you eyes?
en,"Dear Bob,"
en,We'll be happy to answer any questions.
en,So many countries like the U.S. and Britain have founded laughter clinics to help depression patients.
en,One day a rabbit and a monkey were sitting under a big tree.
en,Eyeglasses were first introduced to Korea in the late 16th century from China.
en,Doctors are reporting a new illness that is ruining hundreds of lives.
en,Why not drop us a line and a photo.
en,We'll watch the full moon in the evening.
en,"If it looked like it was going to rain, the cameras were quickly covered, not the actors."
en,So he began to write letters to his own son.
en,After school we make cookies and sell them to our friends.
en,Turn off the TV.
en,"It's like you're saying to the rest of the family, ""I'm the king here."""
en,"When the boys kept playing around the men's feet, the men became angry."
en,"""No matter how full one's schedule is, there's always room for more!"" answered one employee."
en,"At first there was silence, and then my father asked me why."
en,Let's be students who can understand other peoples well.
en,So I have only a little time to study.
en,Today the Jack-O-Lantern pumpkin is an important part of every Halloween celebration.
en,"Their breathing becomes faster, and their legs may move too."
en,Let's be students who can help other peoples of the world understand us Koreans better.
en,Now they are going out of the ring.
en,"""I write jokes for children."""
en,You can see exciting scenes where Tom Cruise is being chased by police wearing rocket backpacks.
en,This climate change is due to the burning of coal and other fuels by humans.
en,That means more family violence and more fighting over available resources.
en,"About two years ago, a university professor went on TV and spoke about Vitamin C."
en,"Naturally, many of them are not successful."
en,They have watched many operations during which the patients were awake but felt no pain.
en,"He was driving through the corner, and the woman in the red sports car didn't stop at a stop sign."
en,She could not stand or walk like us.
en,The monkey often scratched himself with his long fingers.
en,The streets are clean.
en,"Work is important, but everyone needs free time, too."
en,Limits of Western Medicine
en,Schools are starting to open to women again.
en,My father will cut the grass and paint the gate.
en,One day the shoemaker woke up to find himself famous.
en,Dioxin usually enters a human body through the food we eat.
en,"If you don't keep your teeth clean, germs can make them bad."
en,"Even after they realize something is wrong, they find it almost impossible to stop."
en,I had a wonderful time at a beach in the easten part of Korea.
en,"Just imagine where you would be now, if you had used the Internet from the very start!"""
en,Every year about seventeen million animals are used in laboratory experiments.
en,"The next stage is the ""humor"" stage."
en,"The devil said, ""Oh, really?"
en,"Yet, Hollywood and the military often work on similar technology such as virtual reality and 3-D simulators."
en,"They couldn't leave home without wearing the burhka, a kind of clothing which covers the head, face and body."
en,Dirt causes illness.
en,"Pemberton became ill and had to sell the business for $2,300 to Asa Candler, a businessman."
en,Always be polite but never flattering.
en,We do a lot of the work.
en,"Ken Aston, a referee, was in charge of a World Cup match between England and Argentina in 1966."
en,"In the end, important changes were made in the law."
en,A good image is very important for political candidates.
en,Some people will be excited and happy; others will feel really uncomfortable.
en,My friends and I have a day off.
en,The report said that too much Vitamin C can be bad for our bodies.
en,Go to your room and study.
en,"He learned to fly a jet for Top Gun, and he learned to drive a race car for another movie."
en,People began to worry.
en,"Dear Mr. and Mrs. Smith,"
en,The drink tasted fantastic!
en,Today students tend to limit learning to the classroom.
en,We use them to pick up things.
en,"Midwesterners dine at five or six, Spaniards at ten."
en,"At first, the Irish used turnips as their 'Jack's lantern.'"
en,Those two boys' attitudes toward life were so different that it made their parents worried.
en,Look at the sky in the daytime.
en,His name was Sooho.
en,Want to spend some time abroad?
en,Ch'usok is coming soon.
en,He loves to learn new things now.
en,"We will know, at last, that we are not alone."
en,The flowering stone is round and flat and grows close to the ground.
en,"In Ohio, the speed limit for cars was eight miles an hour in 1902."
en,You do this by filling your mind with all kinds of information while you're awake.
en,"They don't talk much now, but they can talk."
en,"However, most of these methods ignore individual differences in attitudes and learning styles."
en,"""What does this show us?"" he asked."
en,Opportunity cost has something to do with choosing one product or service instead of another.
en,Can you swim by reading books about swimming?
en,"Swift laughed, and after that, he never forgot to give the boy a tip."
en,Now they can walk to school.
en,The man in the green truck wasn't hurt at all.
en,On American television there are many ads about kinds of soap.
en,"I said, ""I must go at once."
en,"Then a lightning storm set fire to the weeds and saved me the trouble of burning them."""
en,"Swift looked at him and said, ""That is not the way to give me your package."
en,So try it.
en,You must brush your teeth every morning and every night.
en,The police came and I left for school.
en,Then they will be black and decayed.
en,"We also use our fingers for counting, pointing, and doing many other things."
en,"Jack then cut a cross in the tree's trunk, so the devil couldn't come down."
en,Recently India has become the world's second leading exporter of computer software.
en,"""Really, have you sold anything yet?"""
en,It's called Substitute Student Day.
en,Male birds do most of the singing.
en,"The millionaire tomato seller replied, ""Why, of course! I would be a floor cleaner at Microsoft!"""
en,"Brazilians put hot milk into strong coffee, whereas Americans pour cold milk into a weaker brew."
en,He was promptly fitted with two hearing aids.
en,It is a time for them to grow closer to God and become better people.
en,Imagine this scene.
en,"And finally, both the Italians and the Polish are famous for their friendliness and good spirit."
en,"Blue or pink clothing is purchased, and the pronoun 'he' or 'she' is used."
en,For several days her request was ignored.
en,"We'll pay you by the hour, so the more you work, the more you'll earn!"
en,It can also work for you.
en,"A positive self-image, he says, can do as much to help a child lose weight as healthful food and exercise."
en,But he did not give up.
en,Market researchers have found that the sense of smell affects customers more than any other sense.
en,"Swift entered, walked to his desk and said, ""Good morning, sir. Mrs. Anderson says hello to you."
en,It gives us heat and light.
en,He took it home.
en,"It is also a dangerous thing, so you have to keep it away from your children."
en,"Whenever robins are nesting, the same thing is taking place."
en,Our minds also need a kind of food.
en,They have never heard me because they were born deaf.
en,English learners should realize that there are no magic methods for learning English.
en,"""Yes, My TV, car, and the family silver."""
en,She is going to the flower show in the City Hall.
en,Ben did not play with the other children in school.
en,"In order to protect their shoes, people began using high heels."
en,He works late in the evening.
en,He was small and not clean.
en,A Chinese Method of Killing Pain
en,This sea ice is very important to the polar bears' survival because they hunt fish and sea animals here.
en,So he decided to take care of it.
en,"However, this anonymity does have some negative aspects."
en,It helps boats to find their ways.
en,Their marriages are even more fragile than those of the middle-class young.
en,"""In that case,"" said the manager, ""you can't work here."""
en,"Swift went out, knocked on the door and waited."
en,"After the match, Aston started looking for a way to solve the language problems on the field."
en,"Today, the older use of the kiss, to show respect or welcome, is still common."
en,National leaders often greet each ether with a kiss on the cheek when they meet.
en,"After all, you could always get another actor but trained horses were hard to find!"
en,"One day when Julia was at home alone, a man came to the door asking for her mother."
en,She lived with them for about seven years.
en,It used to be a palace where the kings and queens of France once lived.
en,You've just watched the news on TV.
en,"Today our jaws are smaller, and there's just no room for the wisdom teeth."
en,Farmers did not like it because it frightened their horses.
en,The rabbit is white.
en,What a difference!
en,The man put down his newspaper and said they were his friends.
en,He said that I was crazy to give up farming.
en,"However, Rohya isn't sure if she will go back to her medical studies."
en,John's father told John that Mary's mother was sick in bed.
en,"They're terribly preoccupied with their bodies, but they've lost touch with mental disciplines."
en,Then they can take steps to protect these places.
en,"If it's not too late for me to sign up, I'll need you to send me an application form too."
en,"Today in theater Che-il, we are playing 'Jaws' and 'The Sound of Music.'"
en,"I can make money that way, too."
en,Muslimes wash their hands before eating.
en,"But when Irish immigrants came to America, pumpkins were easier to find than turnips."
en,One of the first anesthetics known to man was used to help doctors instead of patients.
en,I have an apartment in New York and a house in Hollywood with a swimming pool and a tennis court.
en,I liked Oxford University.
en,"""Maybe so."
en,He often sniffed the air.
en,My name is Kang Min-ho.
en,"In the 19th century, a scientist said men from Northern Europe were the best."
en,There was a small pond in the park.
en,It was trying to get out.
en,This was a protest against Mrs. Parks' arrest.
en,One day Rowland was asked to attend a trial where his knowledge of science was needed.
en,"And the final stage is the ""home"" stage."
en,I hope he'll never smoke again.
en,Our living and working conditions may put us under stress.
en,At last you begin to feel at home and enjoy living in that country.
en,"""I had to do so,"" Rowland replied, ""because I promised not to lie."""
en,First she opens Mr. Robinson's letters.
en,"Before long, another craze comes along and replaces the old one."
en,"Fortunately, the woman wasn't hurt badly, but her nose was bleeding a little."
en,Interested?
en,But it was too late.
en,He does not like to give things to others.
en,She crashed into the truck.
en,No one will respect you more than you do yourself.
en,It is a fine day.
en,We Koreans worked hard for the 1988 Seoul Olympic Games.
en,"Then he asked, ""Any questions?"""
en,No one knows exactly why acupuncture is so successful.
en,They were ordered to move to the back of the bus
en,"So, the parents brought them to a counselor."
en,Some even attack others just for fun.
en,Early eyeglasses were not just symbols of learning; they also cost a lot of money.
en,"It was discovered by the ancient Incas of Peru more than 1,000 years ago."
en,And now I'm happy because I see he's doing something he enjoys.
en,"When winter comes, food is hard to find."
en,"""Oh, not bad,"" said the farmer."
en,Min-ho was fond of taking pictures.
en,Why not come and work for us at Home Farm?
en,The military will worry whether the aliens are friendly or not.
en,"Later, when Jack died, he wasn't allowed to enter Heaven because of his bad ways."
en,"And since they live both in water and on land, frogs also give information about both places."
en,I'm going to be a third year student this March.
en,"Unfortunately, Coca-Cola was not successful and they nearly went bankrupt."
en,"A few days later, new shoes were left at Ben's door by a group of girls."
en,"They tell the candidates what to say, what to wear, and even what perfume to use."
en,My mother will buy new flowers and plant them in the garden.
en,The doctor told him to stop smoking.
en,What am I?
en,She draws a few pictures every day.
en,Here is the homework you asked me to send for Mary while she is at home with a cold.
en,Jimmy was an optimist and Timmy was a pessimist.
en,"In some countries, people don't like to say 'no' to a request."
en,I brought the subject up one night over dinner.
en,"Now, we can both listen to the TV or radio and have a normal conversation at a comfortable, peaceful level."
en,They are middle school students.
en,Do you know what LH is?
en,My father is always busy.
en,One day he found a white baby horse in the woods.
en,The item that you don't pick is the opportunity cost.
en,Be careful not to be guilty of it.
en,We can learn a lot about the world and people living in it.
en,"However, there are also similarities."
en,"The rabbit was not quiet, either."
en,Can a baby live with animals?
en,The children hid under the table where the important men sat.
en,I practice even in summer.
en,We must all be aware of the danger of this chemical and learn how to protect ourselves from it.
en,She could only walk like a wolf.
en,"In an experiment, 50 people were asked to try different ways of falling asleep."
en,"When I first started, I couldn't run more than a few hundred yards before I had to rest."
en,"If they had lived in the days of capital punishment, they were already died."
en,"They do most of the domestic work, for example, cooking and washing clothes."
en,Don't be surprised when you see your dog talking in his sleep.
en,They will visit Su-mi's grandparents in Pusan.
en,In July huge white clouds promised rain.
en,"""Recover"" is a special night cream scientifically made to help your skin recover its natural beauty."
en,Then we use a kind of book to know the meaning of the word.
en,Back in Europe at that time it was even worse.
en,"When we get knowledge for ourselves, we learn more and understand better."
en,"He dumped some small stones in, which filled the spaces between the rocks."
en,One rainy night I saw another bookshop on my way home.
en,Workers must have space available at home to set up their computers and other equipment.
en,They said that the boys did not belong in the room.
en,Sarah Peterson
en,He created a new science called Eugenics to try to prove he was right.
en,The man in the middle was reading a newspaper.
en,"The Japanese enjoy eating horse meat, but few Americans would want to taste it."
en,Many reports have been published on the conditions and rights of women throughout the world.
en,And you could fly only for a short period of time because the fuel capacity of the rocket was small.
en,The other three blacks moved but Mrs. Parks refused.
en,The childen are looking at the funny scenes with their mouths open.
en,"And a meeting of witches, called *Witches' Sabbath, required at least 13 witches."
en,Some people think deaf people can't learn to talk.
en,People with IAS have a strong desire to log on to the Internet from the moment they wake up in the morning.
en,The sun's light is very bright.
en,I ran after it for quite a while.
en,Where did he get this idea?
en,"These new glasses remained a symbol of education, but this time it was new, modern education."
en,"Among early Christians, the 'holy kiss' was a sign of friendship."
en,Food is important.
en,"Peter said, ""Our coats are very heavy."
en,"In our long history, we have many great men."
en,He was shouting at the lady.
en,"To this day, his 1941 batting average of .406 has never been broken."
en,"But in many countries today, a difficult question is being asked."
en,Harry and Jane left the park.
en,He gave Coca-Cola an image.
en,Thank you for calling.
en,"When people make small talk, they talk about things like the weather, sports, their weekend, and so on."
en,"Respect, good manners, and thoughtful behaviors are keys to successful teamwork."
en,People celebrate Easter.
en,Now I can run a mile in eight minutes.
en,"He grabbed the boy, pulled him into the hall, and told him to stay there until he was forgiven."
en,A man went to Microsoft and applied for a job as a floor cleaner.
en,The snow is white.
en,"So the females choose these male birds as mates, not because they sing well but because they are rich."
en,"Whenever he sees his own reflection in a window, the robin dashes to drive it away."
en,"While listening to the election results, Kennedy spoke on the phone with his running mate, Lyndon Johnson."
en,We decide to go to the movies instead of going shopping.
en,They become very thin and weak.
en,"If you can see frogs around you, it means the environment is healthy."
en,The Role of China in Medical Science
en,"A hundred years ago, coyotes lived only in the deserts of western United States and in Mexico."
en,"However, many of these organizations don't do anything."
en,"In that case, I won't work for them."
en,But I give them bacon and ham.
en,He finished all his homework and had only two errors.
en,"In 1885, John Pemberton, a pharmacist in Atlanta, Georgia, decided to make a new ""family"" drink."
en,What you probably see is the sun.
en,They are fishing or watching the river.
en,And other people spread false rumors about famous people.
en,We need a few potatoes and tomatoes.
en,So when I saw this shop I went in.
en,"In every culture, people enjoy making small talk about a variety of topics."
en,"Now, you sit in my chair and watch how I do it."""
en,"Let's leave them here in the hall and walk upstairs to out room."""
en,Thank you very much for your letter and the song you sent to me about two months ago.
en,Frogs have very thin skin.
en,SETI scientists believed that aliens would use radio waves to communicate in space.
en,"The '93 Teajon Expo was a success, too."
en,"Everyone will be changed, knowing that we have company out there in space."
en,Dr. Martin Luther King led a boycott against the bus companies.
en,These plays regarded their hairdos as quite important.
en,"During the very early days of movies, there were no big stars at all."
en,"""Oh, that mush have been Mr. Spade, who has just moved here from Atlanta!"
en,Jack placed the candle inside a turnip to keep it burning longer.
en,You will find many different ways of life and thinking in ⓑthem.
en,"They have to take notes, ask and answer questions, read books, and do assignments."
en,"You an make friends by being honest, and you can keep them by staying honest."
en,"About six million Jewish men, women and children ended up dying in concentration camps."
en,"Surprised, he asked the man in the middle if he knew the two men on either side."
en,It has bright light at the top.
en,For these reasons they are called *indicator animals.
en,"He was a famous scientist and so was his cousin, Charles Darwin."
en,This is the biggest and the most famous art museum in the world.
en,There are many people on the riverside.
en,"But as the woman turned away, she heard, ""Wait!"""
en,"For example, the smell of freshly baked bread tempts us to enter a bakery and buy some."
en,"In fact, the lifelong process of getting the infant to fit his or her sex role begins at birth."
en,I'm from New York.
en,"Because they appear later in a person's life, when he or she is thought to be wiser."
en,Over the Internet we can share ideas that we might he uncomfortable to talk about openly in society.
en,"First is the ""honeymoon"" stage."
en,He may fight the enemy for days on end.
en,"Other plants, such as poison ivy and poison sumac, produce a liquid that keeps away invaders."
en,"About 600,000 hectares of forest have been saved since 2000."
en,But animals in zoos never have to go hungry.
en,He was a wrestler in high school.
en,Mrs. Lee doesn't know what to do with her students today.
en,"How are you doing, Tom?"
en,He also wasn't allowed to enter Hell because he had tricked the devil.
en,It fell down and did not move.
en,I remember hearing of the case of Timothy Evans who was hanged for a murder that he had not committed.
en,"In many homes around the country, orange juice is always served at breakfast time."
en,"Still, the substitutes always enjoy their day."
en,"""I never knew I was the only one reading them to him."""
en,"In short, one technology benefits two very different fields."
en,Twenty red roses!
en,"Coyotes will eat almost anything, even garbage, so they can easily adapt."
en,You must keep in mind that friends worth having will expect as much from you as they give to you.
en,Women were also denied medical care.
en,Bicycles are not expensive to buy.
en,"Mother told me to play with Betty""."
en,I'm in much better shape now than I used to be.
en,The world becomes smaller every day.
en,"You enjoy tasting the food, meeting the people, and seeing famous places."
en,"""Aren't we lucky?"" I said to Tom."
en,"When they start to disappear, scientists become worried."
en,Many years ago there lived a boy in Mingolia.
en,John was very sorry to hear it.
en,"""No,"" said the man leaving the bank."
en,"Dear Andrew, I wish you to remember some things I have already said to you."
en,"She is already a good artist, and she always works hard."
en,So let these boys have fun while they can.
en,"In Rain Man and The Color of Money, he worked with famous actors."
kr,당신은 과일을 따기도 하고 대체로 우리가 하는 일상적인 농장 일을 돕게 될 겁니다.
kr,중세에 도시들은 그리 깨끗하지 않았고 거리는 오물로 가득 차 있었다.
kr,"지금은 여성들이 앞치마 끈 뒤에서 숨어있을지 모르지만, 조만간 그들의사회는 진보하는 세계를 따라 잡을 것이다."
kr,"소가 뭐라고 대답했는지 압니까?"" 라고 목사가 말했다."
kr,폴란드와 이탈리아는 매우 다른 나라들처럼 보여진다.
kr,적색 교통 신호등을 본 것이 그에게 아이디어를 주었다.
kr,그래서 그들은 호박을 대신 사용하였다.
kr,"저는 특히 승마 기술을 배우는 것에 관심이 있으므로, 이것에 대한 정보를 포함시켜 주시길 바랍니다."
kr,"그 대신에, 악마는 그에게 어둠 속에서 길을 밝히도록 초 한 자루를 주었다."
kr,그것은 바다 위를 비춘다.
kr,"그도 체포되었으며, 그의 집에는 폭탄이 던져졌다."
kr,별에 가해진 높은 온도와 압력이 탄소 표면을 다이아몬드로 변하게 한 것 같다.
kr,"""돼지는 인기가 없었는데 소는 모든 사람들의 사랑을 받았어요."
kr,책은 많은 것들을 우리에게 준다.
kr,지미와 티미는 일란성 쌍둥이였다.
kr,이것은 암을 유발하는 화학물질이다.
kr,독일의 지게와 브라질의 슈퍼스타 호나우두와 로베르토 카를로스는 민머리 클럽에 속했다.
kr,이제 탈레반은 사라졌고 상황은 변하기 시작했다.
kr,"당신의 피부는 깨끗하고, 부드러우며, 건강미로 빛이 납니까?"
kr,"그 결과 교통량은 많고 도로는 충분치 않으며, 도로들의 대부분은 너무나 비좁다."
kr,그 새로운 법에는 흑인들이 몽고메리 시내버스의 어느 자리에나 앉을 수 있다는 내용이 명문화되었다.
kr,"그러면 이것이 돈으로 곽 찼을 때 새 컴퓨터를 살 수 있잖아!"""
kr,외계인의 방문을 믿는 사람들은 그들의 믿음을 뒷받침하는 역사적인 증거가 있다고 주장한다.
kr,두 명의 도보여행자가 숲속을 걷고 있다가 큰 곰을 만났다.
kr,그러기 위해서는 친구가 있어야 한다.
kr,서울대공원은 서울 바로 밖인 과천에 위치하고 있다.
kr,서울에 살고 있는 많은 사람들은 주말에 서울대공원을 방문한다.
kr,"캘리포니아 주에 있는 한 마을에서는 ""운전자는 도로상에서 300피트 전방에 말이 보일 때 자동차를 세워야 한다""는 법안을 통과시켰다."
kr,친애하는 존스씨께
kr,그것은 아주 중요한 건물이다.
kr,계획하신 다양한 활동과 수업에 대한 정보를 보내 주신다면 매우 고맙겠습니다.
kr,당신은 많은 발견이 꿈으로부터 나왔다는 것을 알고 있었는가?
kr,양쪽에 앉은 두 명은 마치 자기들이 실제로 낚시를 하고 있는 것처럼 행동하고 있었다.
kr,그들은 미사일 기지나 공항을 통제할 수도 있고 위성시스템에 침입할 수도 있다.
kr,오늘날전 세계의 나라들에서 하이힐을 신는 여자들을 볼 수 있다.
kr,몇 년 후 진짜 살인자가 밝혀졌다.
kr,세계의 귀중한 예술품 중 많은 수가 전쟁에 의해 손상되거나 파괴되었다.
kr,버몬트 주에서는 자동차가 오고 있다는 것을 경고하기 위해서 누군가가 빨간 깃발을 들고 걸어다녀야 했다.
kr,그는 거리에 사람들이 거의 없는 것을 알고 놀랐다. 그러나 이것은 그가 평소보다 훨씬 일찍 나왔기 때문이라고 생각했다.
kr,따라서 가벼운 이야기는 사람들이 서로를 더 잘 알게 되기를 원하는지 여부를 판단하는 데 도움을 준다.
kr,"""이메일이나 전자 상거래 없이 어떻게 부자가 될 수 있었죠?"
kr,"거울을 보실 때, 무엇이 보입니까?"
kr,한 그룹은 푸른 하늘이나 해변 같은 편안한 장면을 생각했다.
kr,이 방법은 침술이라고 불린다.
kr,열렬한 신자들은 침조차 삼키지 않는다.
kr,야생 동물들은 잠자리에 들어 겨울 내내 잠을 잘 것이다.
kr,13살 아이에게 사랑니가 있는 것은 이상한 일이 아니다.
kr,"그 발명품은 큰 성공을 거두었으나, 널리 사용될 수는 없었다."
kr,이제 곡예사가 밧줄을 타고 있다.
kr,침술이 많은 비용이 드는 이유
kr,각 손마다 끝에 5개의 손가락이 있다.
kr,대체로 한국인들은 요점을 파악하려면 말하는 사람에게 끝까지 귀를 기울여야 한다.
kr,"이것은 주로 쓰레기가 소각될 때 방출되므로 ""죽음의 재""라고 불려왔다."
kr,"다음은 ""호러"" 단계이다."
kr,그는 서둘러 버스 정류장에 갔다.
kr,그녀는 오후 5시까지 사무실에서 근무한다.
kr,"10 분 후에 공부할게요, 엄마."
kr,"민담에 따르면, 잭이라는 사람이 악마를 속여서 나무에 오르도록 했다."
kr,"금요일 또한 오랫동안 불길하다고 여겨져 왔는데, 아마도 그리스도가 금요일에 죽었기 때문일 것이다."
kr,나는 남편에게 청력검사를 받으라고 주장했다.
kr,"이 세 외국어의 화자로서, 여러분은 그것들로 자신에게 말할 수 있다."
kr,그 소녀는 말을 할 수 없었다.
kr,"외국어를 배우는 것은 재미있을 뿐만 아니라, 그것을 말하는 사람을 이해하는 것을 배우는 것이다."
kr,50년 전에 대부분의 미국인들은 작은 공동체 안에서 살았다.
kr,그는 부모더러 다음 번 생일에 염세주의자 아들에게는 가장 좋은 장난감을 주고 낙천주의자 아들에게는 빈 상자를 줘 보라고 제안했다.
kr,그 아이는 늑대처럼 먹고 걷는 것을 배웠다.
kr,이것은 학생들이 마땅히 되어야 하는 종류의 인간인 그들의 본질을 발견하는 데 그들의 고등 교육을 이용하려는 학생들이 거의 없다는 것을 의미한다.
kr,"동화나 신화, 그리고 전설을 위해 남겨진 공간은 없는가?"
kr,"우리는 집에서 엄마가 오실 때까지 기다려야 해.""라고 대답했다."
kr,잉카의 의사들은 치료를 하는 동안 코카 나무잎을 씹었다.
kr,그녀는 자기가 할 수 있는 것만을 끝내면 됩니다.
kr,"이백여 년 전에, 작가 조나단 스위프트는 한 부유한 노부인의 집 근처에 살고 있었다."
kr,그는 칠 때마다 거의 홈런을 친다.
kr,사랑니는 수천 년 전에는 존재하지 않았다.
kr,나의 삼촌은 진찰을 받기 위해서 병원으로 갔다.
kr,오늘날은 사실상 그것이 그 어느 때보다도 더 중요하다.
kr,오늘 아침 남수는 영어 수업이 있었다.
kr,"모든 학교에는 주도적인 ‘상위’그룹이 있는 반면, 그 외 다른 아이들은 그들의 지도력을 따른다."
kr,이제 이 변화는 성경에서도 일어나고 있다.
kr,어느 날 스위프트가 바쁘게 글을 쓰고 있을 때 그 소년이 그의 방으로 뛰어들어 왔다.
